road_name,year,road_type,all_motor_vehicles,LGVs,all_HGVs,cars_and_taxis,lgv_share,road_length_km,count_points,log_road_length,log_total_traffic,collision_count,fatal_count,serious_count,slight_count,severe_count
A5066,2021,A road,7555.25,972.75,120.5,6390.75,0.12870819349720602,4.5,4,1.5040773967762742,8.929997964827788,4,0,1,3,1
A5066,2022,A road,8082.75,1054.5,125,6825.75,0.13042136466673354,4.5,4,1.5040773967762742,8.99748744014505,5,0,1,4,1
A5066,2023,A road,8227,1072.25,123.25,6954.25,0.1302960582210743,4.5,4,1.5040773967762742,9.01517670716893,4,0,0,4,0
A5066,2024,A road,8353.25,1091.5,123.75,7059.5,0.13063431707942624,4.5,4,1.5040773967762742,9.030405963674726,6,0,4,2,4
A5067,2017,A road,10503.833333333334,1294.3333333333333,137.16666666666666,8686.833333333334,0.12428153721491711,3.8,6,1.33500106673234,9.259495548885438,11,0,3,8,3
A5067,2018,A road,10540.666666666666,1223,138.16666666666666,8819.666666666666,0.11442518857833504,3.8,6,1.33500106673234,9.26299607120198,16,0,3,13,3
A5067,2019,A road,11081.5,1140.6666666666667,160,9435.5,0.10260213307011702,3.8,6,1.33500106673234,9.313032330199729,8,0,1,7,1
A5067,2020,A road,8539.166666666666,1006.6666666666666,140.66666666666666,7167,0.11748820864699808,3.8,6,1.33500106673234,9.052418702005763,9,0,1,8,1
A5067,2021,A road,9377.666666666666,1097.5,150.83333333333334,7895.833333333333,0.11662994920921704,3.8,6,1.33500106673234,9.146086254836405,11,0,1,10,1
A5067,2022,A road,9663,1055.3333333333333,149.16666666666666,8190.666666666667,0.1082406076029457,3.8,6,1.33500106673234,9.176059437999308,10,0,3,7,3
A5067,2023,A road,9834,1073.1666666666667,146.83333333333334,8344.833333333334,0.10815092607298217,3.8,6,1.33500106673234,9.193601047971885,8,0,2,6,2
A5067,2024,A road,9982.333333333334,1092.5,147.33333333333334,8471.333333333334,0.10846179419085325,3.8,6,1.33500106673234,9.208572142913534,9,0,2,7,2
A5079,2017,A road,11095,941,143,9891,0.08481297881928797,1.6,1,0.47000362924573563,9.314249835366695,2,0,1,1,1
A5079,2018,A road,10996,959,144,9782,0.08721353219352491,1.6,1,0.47000362924573563,9.305286849285137,3,0,0,3,0
A5079,2019,A road,11108,950,143,9905,0.08552394670507742,1.6,1,0.47000362924573563,9.31542084842669,3,0,0,3,0
A5079,2020,A road,8561,839,126,7523,0.09800256979324845,1.6,1,0.47000362924573563,9.054972284742485,1,0,0,1,0
