collision_index,collision_year,collision_ref_no,police_force,collision_severity,first_road_class,first_road_number,time,speed_limit,junction_detail,collision_ref_join,road_name,road_type,severity_text,severe,collision_hour,time_period,speed_group,junction_group,lgv_involved,young_driver_involved
201906M163313,2019,06M163313,6,3,3,6144,22:40:00,50,0,06M163313,A6144,A road,slight,0,22,night_or_off_peak,40 mph or above,No junction,0,1
201706F035109,2017,06F035109,6,3,3,6010,16:40:00,30,0,06F035109,A6010,A road,slight,0,16,evening_peak,30 mph or below,No junction,0,0
201706L035842,2017,06L035842,6,3,3,58,07:45:00,30,13,06L035842,A58,A road,slight,0,7,morning_peak,30 mph or below,T or staggered junction,0,0
2021061043153,2021,061043153,6,3,3,579,16:10:00,50,0,061043153,A579,A road,slight,0,16,evening_peak,40 mph or above,No junction,0,0
2022061179185,2022,061179185,6,2,3,560,17:50:00,30,0,061179185,A560,A road,serious,1,17,evening_peak,30 mph or below,No junction,0,0
2024061487392,2024,061487392,6,3,3,627,05:25:00,30,13,061487392,A627,A road,slight,0,5,night_or_off_peak,30 mph or below,T or staggered junction,0,0
201706P038467,2017,06P038467,6,3,3,669,01:05:00,30,13,06P038467,A669,A road,slight,0,1,night_or_off_peak,30 mph or below,T or staggered junction,0,0
2022061255211,2022,061255211,6,3,3,6,18:03:00,30,13,061255211,A6,A road,slight,0,18,evening_peak,30 mph or below,T or staggered junction,0,0
2021061034714,2021,061034714,6,3,3,62,16:14:00,30,0,061034714,A62,A road,slight,0,16,evening_peak,30 mph or below,No junction,1,0
2022061179445,2022,061179445,6,2,3,665,17:00:00,30,13,061179445,A665,A road,serious,1,17,evening_peak,30 mph or below,T or staggered junction,0,1
201806L143632,2018,06L143632,6,3,3,49,11:55:00,30,16,06L143632,A49,A road,slight,0,11,daytime,30 mph or below,Crossroads or larger junction,0,0
201706A037970,2017,06A037970,6,3,3,34,16:10:00,30,16,06A037970,A34,A road,slight,0,16,evening_peak,30 mph or below,Crossroads or larger junction,0,1
2021061036850,2021,061036850,6,1,3,6,01:10:00,30,13,061036850,A6,A road,fatal,1,1,night_or_off_peak,30 mph or below,T or staggered junction,0,1
201706Q037467,2017,06Q037467,6,2,3,62,17:10:00,30,17,06Q037467,A62,A road,serious,1,17,evening_peak,30 mph or below,Crossroads or larger junction,0,0
2021061114760,2021,061114760,6,3,3,62,12:12:00,50,0,061114760,A62,A road,slight,0,12,daytime,40 mph or above,No junction,0,0
2022061152025,2022,061152025,6,3,3,6046,16:57:00,30,13,061152025,A6046,A road,slight,0,16,evening_peak,30 mph or below,T or staggered junction,0,0
201806A145574,2018,06A145574,6,3,3,62,14:20:00,20,0,06A145574,A62,A road,slight,0,14,daytime,30 mph or below,No junction,0,0
2021061026732,2021,061026732,6,2,1,60,06:40:00,70,0,061026732,M60,Motorway,serious,1,6,night_or_off_peak,40 mph or above,No junction,0,0
2022061183550,2022,061183550,6,2,3,62,18:05:00,30,0,061183550,A62,A road,serious,1,18,evening_peak,30 mph or below,No junction,0,0
201706G036200,2017,06G036200,6,3,3,670,16:50:00,30,13,06G036200,A670,A road,slight,0,16,evening_peak,30 mph or below,T or staggered junction,0,0
201806E343929,2018,06E343929,6,2,3,5145,13:05:00,30,13,06E343929,A5145,A road,serious,1,13,daytime,30 mph or below,T or staggered junction,0,1
201706A034880,2017,06A034880,6,3,3,665,12:52:00,30,13,06A034880,A665,A road,slight,0,12,daytime,30 mph or below,T or staggered junction,0,0
201906J158766,2019,06J158766,6,2,3,626,09:45:00,30,13,06J158766,A626,A road,serious,1,9,morning_peak,30 mph or below,T or staggered junction,0,0
2022061253907,2022,061253907,6,3,3,560,08:10:00,30,0,061253907,A560,A road,slight,0,8,morning_peak,30 mph or below,No junction,0,0
202006Q171943,2020,06Q171943,6,3,3,627,13:15:00,30,16,06Q171943,A627,A road,slight,0,13,daytime,30 mph or below,Crossroads or larger junction,0,0
